 num     #instances         #bytes  class name (module)
 219:             2             32  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.7)
 220:             2             32  java.util.jar.Attributes (java.base@17.0.7)
 221:             2             32  java.util.zip.CRC32 (java.base@17.0.7)
 222:             1             32  java.util.zip.ZipCoder$UTF8ZipCoder (java.base@17.0.7)
 223:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@17.0.7)
 224:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@17.0.7)
 225:             1             32  jdk.internal.module.ArchivedModuleGraph (java.base@17.0.7)
 226:             2             32  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.7)
 227:             2             32  jdk.internal.vm.PostVMInitHook$1 (java.base@17.0.7)
 228:             1             24  [Ljava.io.File$PathStatus; (java.base@17.0.7)
 229:             1             24  [Ljava.lang.reflect.Method; (java.base@17.0.7)
 230:             1             24  [Ljava.net.URL; (java.base@17.0.7)
 231:             1             24  [Ljava.util.jar.Manifest; (java.base@17.0.7)
 232:             1             24  java.lang.PublicMethods$MethodList (java.base@17.0.7)
 233:             1             24  java.lang.RuntimePermission (java.base@17.0.7)
 234:             1             24  java.lang.ThreadLocal$ThreadLocalMap (java.base@17.0.7)
 235:             1             24  java.lang.reflect.ReflectPermission (java.base@17.0.7)
 236:             1             24  java.security.BasicPermissionCollection (java.base@17.0.7)
 237:             1             24  java.security.Permissions (java.base@17.0.7)
 238:             1             24  java.util.AbstractMap$1$1 (java.base@17.0.7)
 239:             1             24  java.util.Arrays$ArrayItr (java.base@17.0.7)
 240:             1             24  java.util.Arrays$ArrayList (java.base@17.0.7)
 241:             1             24  java.util.Collections$EmptyMap (java.base@17.0.7)
 242:             1             24  jdk.internal.loader.FileURLMapper (java.base@17.0.7)
 243:             1             24  jdk.internal.loader.URLClassPath$3 (java.base@17.0.7)
 244:             1             24  jdk.internal.module.ModuleHashes (java.base@17.0.7)
 245:             1             24  jdk.internal.module.ModuleHashes$Builder (java.base@17.0.7)
 246:             1             24  jdk.internal.module.SystemModuleFinders$SystemModuleFinder (java.base@17.0.7)
 247:             1             24  jdk.internal.ref.CleanerImpl (java.base@17.0.7)
 248:             1             24  sun.nio.cs.IBM437 (java.base@17.0.7)
 249:             1             24  sun.nio.cs.ISO_8859_1 (java.base@17.0.7)
 250:             1             24  sun.nio.cs.MS1252 (java.base@17.0.7)
 251:             1             24  sun.nio.cs.StandardCharsets (java.base@17.0.7)
 252:             1             24  sun.nio.cs.US_ASCII (java.base@17.0.7)
 253:             1             24  sun.nio.cs.UTF_16 (java.base@17.0.7)
 254:             1             24  sun.nio.cs.UTF_16BE (java.base@17.0.7)
 255:             1             24  sun.nio.cs.UTF_16LE (java.base@17.0.7)
 256:             1             24  sun.nio.cs.UTF_8 (java.base@17.0.7)
 257:             1             24  sun.nio.fs.WindowsFileSystem (java.base@17.0.7)
 258:             1             24  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.7)
 259:             1             16  [Ljava.lang.Throwable; (java.base@17.0.7)
 260:             1             16  [Ljava.security.CodeSigner; (java.base@17.0.7)
 261:             1             16  [Ljava.security.cert.Certificate; (java.base@17.0.7)
 262:             1             16  com.epam.jmp.mat.heap.Process
 263:             1             16  java.io.FileDescriptor$1 (java.base@17.0.7)
 264:             1             16  java.io.RandomAccessFile$1 (java.base@17.0.7)
 265:             1             16  java.io.RandomAccessFile$2 (java.base@17.0.7)
 266:             1             16  java.lang.CharacterDataLatin1 (java.base@17.0.7)
 267:             1             16  java.lang.ModuleLayer$Controller (java.base@17.0.7)
 268:             1             16  java.lang.Runtime (java.base@17.0.7)
 269:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@17.0.7)
 270:             1             16  java.lang.System$2 (java.base@17.0.7)
 271:             1             16  java.lang.Terminator$1 (java.base@17.0.7)
 272:             1             16  java.lang.invoke.MemberName$Factory (java.base@17.0.7)
 273:             1             16  java.lang.invoke.StringConcatFactory$1 (java.base@17.0.7)
 274:             1             16  java.lang.invoke.StringConcatFactory$2 (java.base@17.0.7)
 275:             1             16  java.lang.invoke.StringConcatFactory$3 (java.base@17.0.7)
 276:             1             16  java.lang.module.ModuleDescriptor$1 (java.base@17.0.7)
 277:             1             16  java.lang.ref.Cleaner (java.base@17.0.7)
 278:             1             16  java.lang.ref.Cleaner$1 (java.base@17.0.7)
 279:             1             16  java.lang.ref.Reference$1 (java.base@17.0.7)
 280:             1             16  java.lang.reflect.ReflectAccess (java.base@17.0.7)
 281:             1             16  java.net.URI$1 (java.base@17.0.7)
 282:             1             16  java.net.URL$3 (java.base@17.0.7)
 283:             1             16  java.net.URL$DefaultFactory (java.base@17.0.7)
 284:             1             16  java.nio.Bits$1 (java.base@17.0.7)
 285:             1             16  java.nio.Buffer$1 (java.base@17.0.7)
 286:             1             16  java.nio.file.FileSystems$DefaultFileSystemHolder$1 (java.base@17.0.7)
 287:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl (java.base@17.0.7)
 288:             1             16  java.util.AbstractMap$1 (java.base@17.0.7)
 289:             1             16  java.util.Collections$EmptyList (java.base@17.0.7)
 290:             1             16  java.util.Collections$EmptySet (java.base@17.0.7)
 291:             1             16  java.util.Collections$UnmodifiableSet (java.base@17.0.7)
 292:             1             16  java.util.IdentityHashMap$KeySet (java.base@17.0.7)
 293:             1             16  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@17.0.7)
 294:             1             16  java.util.jar.JavaUtilJarAccessImpl (java.base@17.0.7)
 295:             1             16  java.util.zip.ZipFile$1 (java.base@17.0.7)
 296:             1             16  jdk.internal.loader.URLClassPath$JarLoader$1 (java.base@17.0.7)
 297:             1             16  jdk.internal.misc.ScopedMemoryAccess (java.base@17.0.7)
 298:             1             16  jdk.internal.misc.TerminatingThreadLocal$1 (java.base@17.0.7)
 299:             1             16  jdk.internal.misc.Unsafe (java.base@17.0.7)
 300:             1             16  jdk.internal.module.ArchivedBootLayer (java.base@17.0.7)
 301:             1             16  jdk.internal.module.ModuleLoaderMap$Mapper (java.base@17.0.7)
 302:             1             16  jdk.internal.module.ModulePatcher (java.base@17.0.7)
 303:             1             16  jdk.internal.module.ModuleTarget (java.base@17.0.7)
 304:             1             16  jdk.internal.module.SystemModules$default (java.base@17.0.7)
 305:             1             16  jdk.internal.perf.Perf (java.base@17.0.7)
 306:             1             16  jdk.internal.perf.Perf$GetPerfAction (java.base@17.0.7)
 307:             1             16  jdk.internal.ref.CleanerFactory$1 (java.base@17.0.7)
 308:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@17.0.7)
 309:             1             16  jdk.internal.util.SystemProps$Raw (java.base@17.0.7)
 310:             1             16  jdk.internal.vm.PostVMInitHook$2 (java.base@17.0.7)
 311:             1             16  sun.net.www.protocol.file.Handler (java.base@17.0.7)
 312:             1             16  sun.net.www.protocol.jar.Handler (java.base@17.0.7)
 313:             1             16  sun.nio.fs.NativeBuffers$1 (java.base@17.0.7)
 314:             1             16  sun.nio.fs.WindowsFileSystemProvider (java.base@17.0.7)
Total         14328        1533000
