 num     #instances         #bytes  class name (module)
 151:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@17.0.7)
 152:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@17.0.7)
 153:             1             32  [Lsun.nio.fs.NativeBuffer; (java.base@17.0.7)
 154:             1             32  java.io.File (java.base@17.0.7)
 155:             1             32  java.io.FileInputStream (java.base@17.0.7)
 156:             1             32  java.io.RandomAccessFile (java.base@17.0.7)
 157:             1             32  java.io.WinNTFileSystem (java.base@17.0.7)
 158:             2             32  java.lang.Boolean (java.base@17.0.7)
 159:             1             32  java.lang.Module$ArchivedData (java.base@17.0.7)
 160:             1             32  java.lang.Package (java.base@17.0.7)
 161:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@17.0.7)
 162:             2             32  java.nio.ByteOrder (java.base@17.0.7)
 163:             1             32  java.util.Collections$UnmodifiableMap (java.base@17.0.7)
 164:             2             32  java.util.WeakHashMap$KeySet (java.base@17.0.7)
 165:             2             32  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.7)
 166:             1             32  java.util.zip.ZipCoder$UTF8ZipCoder (java.base@17.0.7)
 167:             1             32  java.util.zip.ZipFile$CleanableResource (java.base@17.0.7)
 168:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@17.0.7)
 169:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@17.0.7)
 170:             1             32  jdk.internal.module.ArchivedModuleGraph (java.base@17.0.7)
 171:             2             32  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.7)
 172:             1             24  [Ljava.io.File$PathStatus; (java.base@17.0.7)
 173:             1             24  [Ljava.lang.reflect.Method; (java.base@17.0.7)
 174:             1             24  [Ljava.net.URL; (java.base@17.0.7)
 175:             1             24  [Ljava.util.jar.Manifest; (java.base@17.0.7)
 176:             1             24  java.lang.RuntimePermission (java.base@17.0.7)
 177:             1             24  java.lang.StringBuilder (java.base@17.0.7)
 178:             1             24  java.lang.ThreadLocal$ThreadLocalMap (java.base@17.0.7)
 179:             1             24  java.lang.reflect.ReflectPermission (java.base@17.0.7)
 180:             1             24  java.security.BasicPermissionCollection (java.base@17.0.7)
 181:             1             24  java.security.Permissions (java.base@17.0.7)
 182:             1             24  java.util.Collections$EmptyMap (java.base@17.0.7)
 183:             1             24  java.util.jar.Manifest (java.base@17.0.7)
 184:             1             24  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.7)
 185:             1             24  java.util.zip.ZipFile$Source$Key (java.base@17.0.7)
 186:             1             24  jdk.internal.module.ModuleHashes (java.base@17.0.7)
 187:             1             24  jdk.internal.module.SystemModuleFinders$SystemModuleFinder (java.base@17.0.7)
 188:             1             24  jdk.internal.ref.CleanerImpl (java.base@17.0.7)
 189:             1             24  sun.nio.cs.IBM437 (java.base@17.0.7)
 190:             1             24  sun.nio.cs.ISO_8859_1 (java.base@17.0.7)
 191:             1             24  sun.nio.cs.MS1252 (java.base@17.0.7)
 192:             1             24  sun.nio.cs.StandardCharsets (java.base@17.0.7)
 193:             1             24  sun.nio.cs.US_ASCII (java.base@17.0.7)
 194:             1             24  sun.nio.cs.UTF_16 (java.base@17.0.7)
 195:             1             24  sun.nio.cs.UTF_16BE (java.base@17.0.7)
 196:             1             24  sun.nio.cs.UTF_16LE (java.base@17.0.7)
 197:             1             24  sun.nio.cs.UTF_8 (java.base@17.0.7)
 198:             1             24  sun.nio.fs.WindowsFileSystem (java.base@17.0.7)
 199:             1             24  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.7)
 200:             1             16  [Ljava.lang.Throwable; (java.base@17.0.7)
 201:             1             16  [Ljava.security.cert.Certificate; (java.base@17.0.7)
 202:             1             16  com.epam.jmp.mat.heap.Process
 203:             1             16  java.io.FileDescriptor$1 (java.base@17.0.7)
 204:             1             16  java.io.RandomAccessFile$2 (java.base@17.0.7)
 205:             1             16  java.lang.CharacterDataLatin1 (java.base@17.0.7)
 206:             1             16  java.lang.Runtime (java.base@17.0.7)
 207:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@17.0.7)
 208:             1             16  java.lang.System$2 (java.base@17.0.7)
 209:             1             16  java.lang.Terminator$1 (java.base@17.0.7)
 210:             1             16  java.lang.invoke.MemberName$Factory (java.base@17.0.7)
 211:             1             16  java.lang.invoke.StringConcatFactory$1 (java.base@17.0.7)
 212:             1             16  java.lang.invoke.StringConcatFactory$2 (java.base@17.0.7)
 213:             1             16  java.lang.invoke.StringConcatFactory$3 (java.base@17.0.7)
 214:             1             16  java.lang.module.ModuleDescriptor$1 (java.base@17.0.7)
 215:             1             16  java.lang.ref.Cleaner (java.base@17.0.7)
 216:             1             16  java.lang.ref.Cleaner$1 (java.base@17.0.7)
 217:             1             16  java.lang.ref.Reference$1 (java.base@17.0.7)
 218:             1             16  java.lang.reflect.ReflectAccess (java.base@17.0.7)
 219:             1             16  java.net.URI$1 (java.base@17.0.7)
 220:             1             16  java.net.URL$3 (java.base@17.0.7)
 221:             1             16  java.net.URL$DefaultFactory (java.base@17.0.7)
 222:             1             16  java.nio.Bits$1 (java.base@17.0.7)
 223:             1             16  java.nio.Buffer$1 (java.base@17.0.7)
 224:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl (java.base@17.0.7)
 225:             1             16  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.7)
 226:             1             16  java.util.Collections$EmptyList (java.base@17.0.7)
 227:             1             16  java.util.Collections$EmptySet (java.base@17.0.7)
 228:             1             16  java.util.Collections$UnmodifiableSet (java.base@17.0.7)
 229:             1             16  java.util.HashMap$EntrySet (java.base@17.0.7)
 230:             1             16  java.util.IdentityHashMap$KeySet (java.base@17.0.7)
 231:             1             16  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@17.0.7)
 232:             1             16  java.util.jar.Attributes (java.base@17.0.7)
 233:             1             16  java.util.jar.JavaUtilJarAccessImpl (java.base@17.0.7)
 234:             1             16  java.util.zip.ZipFile$1 (java.base@17.0.7)
 235:             1             16  jdk.internal.misc.ScopedMemoryAccess (java.base@17.0.7)
 236:             1             16  jdk.internal.misc.TerminatingThreadLocal$1 (java.base@17.0.7)
 237:             1             16  jdk.internal.misc.Unsafe (java.base@17.0.7)
 238:             1             16  jdk.internal.module.ArchivedBootLayer (java.base@17.0.7)
 239:             1             16  jdk.internal.module.ModuleLoaderMap$Mapper (java.base@17.0.7)
 240:             1             16  jdk.internal.module.ModulePatcher (java.base@17.0.7)
 241:             1             16  jdk.internal.module.ModuleTarget (java.base@17.0.7)
 242:             1             16  jdk.internal.perf.Perf (java.base@17.0.7)
 243:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@17.0.7)
 244:             1             16  sun.net.www.protocol.file.Handler (java.base@17.0.7)
 245:             1             16  sun.net.www.protocol.jar.Handler (java.base@17.0.7)
 246:             1             16  sun.nio.fs.NativeBuffers$1 (java.base@17.0.7)
 247:             1             16  sun.nio.fs.WindowsFileSystemProvider (java.base@17.0.7)
Total         11293         555240
